title:Meditation, start timestamp:1583521498.648371, stop timestamp:1583521564.628264, headset type:INSIGHT, headset serial:A1D2068CFA, headset firmware:930, subject name:Corey, channels:31, sampling rate:eeg_128;mot_64, samples:8464      , version:2.0
Timestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.T7,EEG.Pz,EEG.T8,EEG.AF4,EEG.RawCq,EEG.Battery,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.T7,CQ.Pz,CQ.T8,CQ.AF4,MOT.CounterMems,MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ
1583521501.899151,124.000000,0.000000,4452.820313,4334.358887,4106.153809,4043.076904,4323.589844,450.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,62.000000,0.000000,0.654574,0.140625,0.687500,0.281250,0.843763,-0.531258,-0.031250,-76.563667,-76.563667,38.281834
1583521501.907046,125.000000,0.000000,4451.282227,4326.153809,4113.333496,4044.102539,4334.871582,450.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,,,,,,,,,,,,
1583521501.914743,126.000000,0.000000,4447.692383,4328.205078,4133.333496,4049.743652,4345.128418,450.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,63.000000,0.000000,0.654574,0.140625,0.687500,0.281250,0.843763,-0.531258,-0.031250,-76.563667,-76.563667,38.281834
1583521501.922639,127.000000,0.000000,4450.256348,4332.307617,4136.410156,4042.051270,4338.974121,243.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,,,,,,,,,,,,
1583521501.930337,0.000000,0.000000,4452.307617,4332.307617,4138.461426,4052.820557,4333.846191,450.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,0.000000,0.654574,0.140625,0.687500,0.281250,0.843763,-0.531258,-0.031250,-76.563667,-76.563667,38.281834
1583521501.938233,1.000000,0.000000,4445.641113,4328.205078,4145.128418,4060.000000,4336.410156,450.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,,,,,,,,,,,,
1583521501.946131,2.000000,0.000000,4410.256348,4309.743652,4140.000000,4056.410156,4306.153809,1023.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,1.000000,0.000000,0.654574,0.140625,0.687500,0.281250,0.843763,-0.531258,-0.031250,-76.563667,-76.563667,38.281834
1583521501.954027,3.000000,0.000000,4381.538574,4299.487305,4124.615234,4044.102539,4275.384766,450.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,,,,,,,,,,,,
1583521501.961925,4.000000,0.000000,4386.666504,4301.538574,4113.846191,4049.230713,4287.179688,1023.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,2.000000,0.000000,0.654574,0.140625,0.687500,0.281250,0.843763,-0.531258,-0.031250,-76.563667,-76.563667,38.281834
1583521501.969821,5.000000,0.000000,4405.128418,4307.692383,4109.230957,4044.102539,4309.230957,450.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,,,,,,,,,,,,
1583521501.977518,6.000000,0.000000,4390.256348,4301.538574,4115.897461,4030.769287,4286.666504,1023.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,3.000000,0.000000,0.654574,0.140625,0.687500,0.281250,0.843763,-0.531258,-0.031250,-76.563667,-76.563667,38.281834
1583521501.985213,7.000000,0.000000,4379.487305,4305.641113,4125.641113,4035.384521,4276.410156,450.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,,,,,,,,,,,,
1583521501.992909,8.000000,0.000000,4387.692383,4303.589844,4125.641113,4054.358887,4287.692383,450.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,0.000000,0.654574,0.140625,0.687500,0.281250,0.875013,-0.531258,-0.031250,-76.563667,-76.563667,38.281834
1583521502.000605,9.000000,0.000000,4411.794922,4303.589844,4131.794922,4055.384521,4301.025879,273.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,2.000000,4.000000,,,,,,,,,,,,
1583521502.008302,10.000000,0.000000,4421.025879,4305.641113,4138.974121,4044.102539,4307.692383,450.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,2.000000,4.000000,5.000000,0.000000,0.654574,0.140625,0.687500,0.281250,0.843763,-0.531258,-0.031250,-76.563667,-76.563667,38.281834
1583521502.016198,11.000000,0.000000,4425.641113,4317.948730,4140.512695,4055.384521,4321.025879,1023.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,2.000000,4.000000,,,,,,,,,,,,
1583521502.023896,12.000000,0.000000,4425.128418,4317.948730,4136.922852,4062.564209,4313.333496,450.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,2.000000,4.000000,6.000000,0.000000,0.654574,0.140625,0.687500,0.281250,0.843763,-0.531258,-0.031250,-76.563667,-76.563667,38.281834
1583521502.031792,13.000000,0.000000,4427.179688,4309.743652,4136.922852,4065.641113,4296.922852,450.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,2.000000,4.000000,,,,,,,,,,,,
1583521502.039489,14.000000,0.000000,4435.384766,4311.794922,4133.846191,4055.897461,4308.717773,450.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,2.000000,4.000000,7.000000,0.000000,0.654574,0.140625,0.687500,0.281250,0.843763,-0.531258,-0.031250,-76.563667,-76.563667,38.281834
1583521502.047385,15.000000,0.000000,4439.487305,4317.948730,4137.948730,4048.205078,4322.563965,1023.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,2.000000,4.000000,,,,,,,,,,,,
1583521502.055084,16.000000,0.000000,4424.615234,4315.897461,4146.666504,4037.948730,4291.282227,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,2.000000,4.000000,8.000000,0.000000,0.654574,0.140625,0.687500,0.281250,0.843763,-0.531258,-0.031250,-76.563667,-76.563667,38.281834
1583521502.062980,17.000000,0.000000,4405.641113,4307.692383,4151.282227,4041.025635,4252.820313,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,2.000000,4.000000,,,,,,,,,,,,
